hour,day,month,temp,humidity,wind,pressure,precip
9,29,1,-2,71,15,29.82,0.0
10,29,1,1,66,14,29.82,0.0
11,29,1,3,66,12,29.82,0.0
12,29,1,5,66,13,29.8,0.0
13,29,1,9,57,13,29.79,0.0
14,29,1,10,57,13,29.79,0.0
15,29,1,10,57,14,29.8,0.0
16,29,1,10,62,13,29.81,0.0
17,29,1,9,67,13,29.83,0.0
18,29,1,10,67,12,29.85,0.0
19,29,1,7,72,7,29.86,0.0
20,29,1,5,72,8,29.86,0.0
21,29,1,3,78,8,29.87,0.0
22,29,1,3,78,8,29.86,0.0
23,29,1,1,78,5,29.86,0.0
1,28,1,19,74,10,29.77,0.0
2,28,1,18,73,14,29.77,0.0
3,28,1,16,73,12,29.77,0.0
4,28,1,14,79,13,29.77,0.0
5,28,1,12,79,13,29.77,0.0
6,28,1,10,79,14,29.77,0.0
8,28,1,10,79,15,29.8,0.0
9,28,1,10,79,15,29.81,0.0
10,28,1,10,79,18,29.81,0.0
11,28,1,10,73,21,29.82,0.0
12,28,1,10,67,18,29.81,0.0
13,28,1,10,67,15,29.8,0.0
14,28,1,10,62,18,29.79,0.0
15,28,1,10,62,17,29.79,0.0
16,28,1,9,62,17,29.81,0.0
17,28,1,7,61,20,29.82,0.0
18,28,1,5,66,15,29.83,0.0
19,28,1,5,66,14,29.83,0.0
20,28,1,5,72,18,29.83,0.0
