minute,hour,day,month,temp,humidity,wind,pressure,precip,pm2.5,co,no2,o3,so2
0,9,7,1,-999,-999,-999,-999,-999,3,.14,3.1,28,0
34,10,1,1,28.6,83,1.4,30.49,0.0,-999,-999,-999,-999,-999
0,10,7,1,-999,-999,-999,-999,-999,3,.14,3,28,0
34,11,1,1,28.8,82,1.0,30.46,0.0,-999,-999,-999,-999,-999
0,11,7,1,-999,-999,-999,-999,-999,3,.14,3.2,27,0
34,12,1,1,29.4,81,1.4,30.43,0.0,-999,-999,-999,-999,-999
0,12,7,1,-999,-999,-999,-999,-999,4,.15,2.4,27,0
34,13,1,1,29.9,81,2.4,30.4,0.0,-999,-999,-999,-999,-999
0,13,7,1,-999,-999,-999,-999,-999,3,.13,2,28,0
34,14,1,1,29.9,80,2.9,30.38,0.0,-999,-999,-999,-999,-999
0,14,7,1,-999,-999,-999,-999,-999,3,.15,2.4,27,0
34,15,1,1,30.3,80,2.3,30.33,0.0,-999,-999,-999,-999,-999
0,15,7,1,-999,-999,-999,-999,-999,3,.15,2.9,28,0
34,16,1,1,30.6,79,2.5,30.31,0.0,-999,-999,-999,-999,-999
0,16,7,1,-999,-999,-999,-999,-999,2,.14,3.3,27,0
34,17,1,1,30.1,79,3.5,30.29,0.0,-999,-999,-999,-999,-999
0,17,7,1,-999,-999,-999,-999,-999,2,.13,3,27,0
34,18,1,1,29.5,80,3.2,30.27,0.0,-999,-999,-999,-999,-999
0,18,7,1,-999,-999,-999,-999,-999,2,.13,2.3,28,0
34,19,1,1,28.8,78,4.7,30.2,0.0,-999,-999,-999,-999,-999
0,19,7,1,-999,-999,-999,-999,-999,3,.14,2.7,27,0
34,20,1,1,28.5,78,5.7,30.17,0.0,-999,-999,-999,-999,-999
0,20,7,1,-999,-999,-999,-999,-999,2,.13,2.5,28,0
34,21,1,1,28.3,78,5.2,30.13,0.0,-999,-999,-999,-999,-999
0,21,7,1,-999,-999,-999,-999,-999,2,.14,2.9,28,0
34,22,1,1,28.4,77,6.2,30.1,0.0,-999,-999,-999,-999,-999
0,22,7,1,-999,-999,-999,-999,-999,2,.13,2.4,29,0
34,23,1,1,25.7,94,7.7,30.06,0.0,-999,-999,-999,-999,-999
0,23,7,1,-999,-999,-999,-999,-999,2,.16,2.2,30,0
39,0,1,1,27.8,74,0.9,30.46,0.0,-999,-999,-999,-999,-999
0,0,8,1,-999,-999,-999,-999,-999,2,.15,2.4,29,0
39,1,1,1,26.4,77,0.1,30.45,0.0,-999,-999,-999,-999,-999
0,1,8,1,-999,-999,-999,-999,-999,3,.14,2,29,0
39,2,1,1,26.7,80,0.0,30.47,0.0,-999,-999,-999,-999,-999
0,2,8,1,-999,-999,-999,-999,-999,3,.14,1.9,29,0
39,3,1,1,27.4,77,3.6,30.48,0.0,-999,-999,-999,-999,-999
0,3,8,1,-999,-999,-999,-999,-999,3,.14,2.4,30,0
39,4,1,1,27.4,77,0.1,30.45,0.0,-999,-999,-999,-999,-999
0,4,8,1,-999,-999,-999,-999,-999,2,.14,2.7,29,0
39,5,1,1,27.9,75,0.4,30.48,0.0,-999,-999,-999,-999,-999
0,5,8,1,-999,-999,-999,-999,-999,2,.13,3.9,28,0
39,6,1,1,27.3,81,0.7,30.5,0.0,-999,-999,-999,-999,-999
0,6,8,1,-999,-999,-999,-999,-999,2,.13,4.3,28,0
39,7,1,1,26.5,84,0.3,30.49,0.0,-999,-999,-999,-999,-999
0,7,8,1,-999,-999,-999,-999,-999,2,.14,4.9,27,0
39,8,1,1,27.0,85,1.6,30.5,0.0,-999,-999,-999,-999,-999
0,8,8,1,-999,-999,-999,-999,-999,3,.16,6.3,26,0
